DATE;TIME PERIOD;HICP
31.01.1996;1996Jan;0.5
29.02.1996;1996Feb;0.7
31.03.1996;1996Mar;0.8
30.04.1996;1996Apr;0.5
31.05.1996;1996May;0.7
30.06.1996;1996Jun;0.5
31.07.1996;1996Jul;0.7
31.08.1996;1996Aug;0.5
30.09.1996;1996Sep;0.7
31.10.1996;1996Oct;0.8
30.11.1996;1996Nov;0.7
31.12.1996;1996Dec;0.7
31.01.1997;1997Jan;01. Sep
28.02.1997;1997Feb;01. Jun
31.03.1997;1997Mar;01. Mrz
30.04.1997;1997Apr;01. Feb
31.05.1997;1997May;01. Mai
30.06.1997;1997Jun;01. Mai
31.07.1997;1997Jul;01. Jun
31.08.1997;1997Aug;01. Jul
30.09.1997;1997Sep;01. Apr
31.10.1997;1997Oct;01. Mai
30.11.1997;1997Nov;01. Jun
31.12.1997;1997Dec;01. Apr
31.01.1998;1998Jan;0.7
28.02.1998;1998Feb;0.5
31.03.1998;1998Mar;0.5
30.04.1998;1998Apr;0.9
31.05.1998;1998May;0.9
30.06.1998;1998Jun;0.8
31.07.1998;1998Jul;0.8
31.08.1998;1998Aug;0.6
30.09.1998;1998Sep;0.5
31.10.1998;1998Oct;0.4
30.11.1998;1998Nov;0.4
31.12.1998;1998Dec;0.1
31.01.1999;1999Jan;0.3
28.02.1999;1999Feb;0.1
31.03.1999;1999Mar;0.5
30.04.1999;1999Apr;0.8
31.05.1999;1999May;0.4
30.06.1999;1999Jun;0.4
31.07.1999;1999Jul;0.5
31.08.1999;1999Aug;0.6
30.09.1999;1999Sep;0.8
31.10.1999;1999Oct;0.9
30.11.1999;1999Nov;1.0
31.12.1999;1999Dec;01. Apr
31.01.2000;2000Jan;01. Jul
29.02.2000;2000Feb;01. Jul
31.03.2000;2000Mar;01. Apr
30.04.2000;2000Apr;1.0
31.05.2000;2000May;0.8
30.06.2000;2000Jun;01. Apr
31.07.2000;2000Jul;01. Mrz
31.08.2000;2000Aug;1.0
30.09.2000;2000Sep;01. Mai
31.10.2000;2000Oct;01. Mai
30.11.2000;2000Nov;01. Apr
31.12.2000;2000Dec;02. Feb
31.01.2001;2001Jan;01. Mrz
28.02.2001;2001Feb;01. Aug
31.03.2001;2001Mar;01. Aug
