Datum;S&P500 Return
01.12.2025;0.76%
01.11.2025;0.13%
01.10.2025;2.27%
01.09.2025;3.53%
01.08.2025;1.91%
01.07.2025;2.17%
01.06.2025;4.96%
01.05.2025;6.15%
01.04.2025;-0.76%
01.03.2025;-5.75%
01.02.2025;-1.42%
01.01.2025;2.7%
01.12.2024;-2.5%
01.11.2024;5.73%
01.10.2024;-0.99%
01.09.2024;2.02%
01.08.2024;2.28%
01.07.2024;1.13%
01.06.2024;3.47%
01.05.2024;4.8%
01.04.2024;-4.16%
01.03.2024;3.1%
01.02.2024;5.17%
01.01.2024;1.59%
01.12.2023;4.42%
01.11.2023;8.92%
01.10.2023;-2.2%
01.09.2023;-4.87%
01.08.2023;-1.77%
01.07.2023;3.11%
01.06.2023;6.47%
01.05.2023;0.25%
01.04.2023;1.46%
01.03.2023;3.51%
01.02.2023;-2.61%
01.01.2023;6.18%
01.12.2022;-5.9%
01.11.2022;5.38%
01.10.2022;7.99%
01.09.2022;-9.34%
01.08.2022;-4.24%
01.07.2022;9.11%
01.06.2022;-8.39%
01.05.2022;0.01%
01.04.2022;-8.8%
01.03.2022;3.58%
01.02.2022;-3.14%
01.01.2022;-5.26%
01.12.2021;4.36%
01.11.2021;-0.83%
01.10.2021;6.91%
01.09.2021;-4.76%
01.08.2021;2.9%
01.07.2021;2.27%
01.06.2021;2.22%
01.05.2021;0.55%
01.04.2021;5.24%
01.03.2021;4.24%
01.02.2021;2.61%
01.01.2021;-1.11%
01.12.2020;3.71%
01.11.2020;10.75%
01.10.2020;-2.77%
01.09.2020;-3.92%
01.08.2020;7.01%
01.07.2020;5.51%
01.06.2020;1.84%
01.05.2020;4.53%
01.04.2020;12.68%
01.03.2020;-12.51%
01.02.2020;-8.41%
01.01.2020;-0.16%
01.12.2019;2.86%
01.11.2019;3.4%
01.10.2019;2.04%
01.09.2019;1.72%
01.08.2019;-1.81%
01.07.2019;1.31%
01.06.2019;6.89%
01.05.2019;-6.58%
01.04.2019;3.93%
01.03.2019;1.79%
01.02.2019;2.97%
01.01.2019;7.87%
01.12.2018;-9.18%
01.11.2018;1.79%
01.10.2018;-6.94%
01.09.2018;0.43%
01.08.2018;3.03%
01.07.2018;3.6%
01.06.2018;0.48%
01.05.2018;2.16%
01.04.2018;0.27%
01.03.2018;-2.69%
01.02.2018;-3.89%
01.01.2018;5.62%
01.12.2017;0.98%
01.11.2017;2.81%
01.10.2017;2.22%
01.09.2017;1.93%
01.08.2017;0.05%
01.07.2017;1.93%
01.06.2017;0.48%
01.05.2017;1.16%
01.04.2017;0.91%
01.03.2017;-0.04%
01.02.2017;3.72%
01.01.2017;1.79%
01.12.2016;1.82%
01.11.2016;3.42%
01.10.2016;-1.94%
01.09.2016;-0.12%
01.08.2016;-0.12%
01.07.2016;3.56%
01.06.2016;0.09%
01.05.2016;1.53%
01.04.2016;0.27%
01.03.2016;6.6%
01.02.2016;-0.41%
01.01.2016;-5.07%
01.12.2015;-1.75%
01.11.2015;0.05%
01.10.2015;8.3%
01.09.2015;-2.64%
01.08.2015;-6.26%
01.07.2015;1.97%
