Regionsname;Jahr;Score
Flensburg;2004;0,6251272273704952
Flensburg;2005;0,7932094997373729
Flensburg;2006;0,8099393025932944
Flensburg;2007;0,6077638004082531
Flensburg;2008;0,5031320730929585
Flensburg;2009;0,8765788417451227
Flensburg;2010;0,8764213126955777
Flensburg;2011;0,9352203755222007
Flensburg;2012;0,9824802140776939
Flensburg;2013;0,9769222427388994
Flensburg;2014;0,9801560497559778
Flensburg;2015;0,8007327518225804
Flensburg;2016;0,986537197383986
Flensburg;2017;0,9395875620428068
Flensburg;2018;0,8547866409990362
Flensburg;2019;0,9041016738116184
Flensburg;2020;0,9273137800875886
Flensburg;2021;0,8994470330676154
Flensburg;2022;0,3503810570164053
Flensburg;2023;-0,37306364126804337
Flensburg;2024;0,2700716419990106
Flensburg;2025;0,5151956907108353
Kiel;2004;0,8878264176965346
Kiel;2005;0,9234064720003476
Kiel;2006;0,8330815456486171
Kiel;2007;0,6688594641438164
Kiel;2008;0,7379401675494773
Kiel;2009;0,9103359117618548
Kiel;2010;0,9512872949395713
Kiel;2011;0,9375694683242916
Kiel;2012;0,9303451147611757
Kiel;2013;0,9116599361055132
Kiel;2014;0,926220467049017
Kiel;2015;0,9510702273706458
Kiel;2016;0,8883450645922026
Kiel;2017;0,9080930387610312
Kiel;2018;0,8525711424939822
Kiel;2019;0,8543697360645895
Kiel;2020;0,8605579512488036
Kiel;2021;0,6849761960171783
Kiel;2022;-0,05252274755777006
Kiel;2023;-0,5114321246543483
Kiel;2024;-0,3375484054669694
Kiel;2025;-0,4670981272094599
Lübeck;2004;-0,2877403866092994
Lübeck;2005;0,23781306244555012
Lübeck;2006;0,12293434312840874
Lübeck;2007;-0,3527539838182959
Lübeck;2008;-0,33316190348388236
Lübeck;2009;0,4882590189535757
Lübeck;2010;0,7352180528442169
Lübeck;2011;0,7627217471212718
Lübeck;2012;0,832587214789855
Lübeck;2013;0,895064952164543
Lübeck;2014;0,8661192994053372
Lübeck;2015;0,9556790146137888
Lübeck;2016;0,897448100994401
Lübeck;2017;0,8368305535269813
Lübeck;2018;0,7713173634689277
Lübeck;2019;0,5633760976483304
Lübeck;2020;0,6860209455461326
Lübeck;2021;0,745581674733103
Lübeck;2022;0,08132867018060089
Lübeck;2023;-0,6919097962801664
Lübeck;2024;-0,5038709629349419
Lübeck;2025;-0,36541187195546554
Neumünster;2004;0,45682548954311036
Neumünster;2005;0,8323089547075483
Neumünster;2006;0,7820247348702193
Neumünster;2007;0,5791132186209691
Neumünster;2008;0,5080455896073013
Neumünster;2009;0,907877814703939
Neumünster;2010;0,9885902546454384
Neumünster;2011;0,9930671741239068
Neumünster;2012;0,994624986925061
Neumünster;2013;0,9946504869866757
Neumünster;2014;0,9989833167539021
Neumünster;2015;0,9984963220516354
Neumünster;2016;0,9993557025292037
Neumünster;2017;0,9974282697597784
Neumünster;2018;0,9971446840690957
Neumünster;2019;0,9912778342551519
Neumünster;2020;0,9836486866340041
Neumünster;2021;0,952023402638583
Neumünster;2022;0,801967858577465
Neumünster;2023;0,6551963179460245
Neumünster;2024;0,6519896343288245
Neumünster;2025;0,7829875085309544
Dithmarschen;2004;-0,4191437951146996
Dithmarschen;2005;-0,11551000177649512
Dithmarschen;2006;-0,4666365449180284
Dithmarschen;2007;-0,5220657748376186
Dithmarschen;2008;-0,4319938273420097
Dithmarschen;2009;0,08156420300861969
Dithmarschen;2010;0,39999263058203294
Dithmarschen;2011;0,11820438281172879
Dithmarschen;2012;0,39307046621024805
Dithmarschen;2013;0,28212627802412577
Dithmarschen;2014;0,526226722857553
Dithmarschen;2015;0,8005701259875545
Dithmarschen;2016;0,6961532530885104
Dithmarschen;2017;0,562578139857254
Dithmarschen;2018;0,6848962073627748
Dithmarschen;2019;0,4065816680312396
Dithmarschen;2020;0,4029440179079976
Dithmarschen;2021;0,13652999698741178
Dithmarschen;2022;-0,7821975727849378
Dithmarschen;2023;-0,9334686323078919
Dithmarschen;2024;-0,8819149238164555
Dithmarschen;2025;-0,7874164053697451
Herzogtum Lauenburg;2004;0,6488911879167851
Herzogtum Lauenburg;2005;0,7726484399169027
Herzogtum Lauenburg;2006;0,7258451728309869
Herzogtum Lauenburg;2007;0,5832448248312343
Herzogtum Lauenburg;2008;0,5917390397356046
Herzogtum Lauenburg;2009;0,9069565523420619
Herzogtum Lauenburg;2010;0,9530300365789965
Herzogtum Lauenburg;2011;0,9250309962035439
Herzogtum Lauenburg;2012;0,9768868551439543
Herzogtum Lauenburg;2013;0,9660874108157278
Herzogtum Lauenburg;2014;0,9585966470872941
Herzogtum Lauenburg;2015;0,9815996259219175
Herzogtum Lauenburg;2016;0,9537527947104141
Herzogtum Lauenburg;2017;0,9692420264326654
Herzogtum Lauenburg;2018;0,869459880385364
Herzogtum Lauenburg;2019;0,8188876509921733
Herzogtum Lauenburg;2020;0,9440555671730246
Herzogtum Lauenburg;2021;0,8735408795525808
Herzogtum Lauenburg;2022;0,3936433120177764
Herzogtum Lauenburg;2023;-0,2880966734284244
Herzogtum Lauenburg;2024;-0,04176481300600546
Herzogtum Lauenburg;2025;-0,059534711895001785
Nordfriesland;2004;-0,9975226292663301
Nordfriesland;2005;-0,9950841641174634
Nordfriesland;2006;-0,9973266199707965
Nordfriesland;2007;-0,9985166112253734
Nordfriesland;2008;-0,9988387851869844
Nordfriesland;2009;-0,9951204614604876
Nordfriesland;2010;-0,9878717492981496
Nordfriesland;2011;-0,9915490534809827
Nordfriesland;2012;-0,9680483743942533
Nordfriesland;2013;-0,9277694087905064
Nordfriesland;2014;-0,9094635343328463
Nordfriesland;2015;-0,7282429632590083
Nordfriesland;2016;-0,807389650042521
Nordfriesland;2017;-0,8274086123711268
Nordfriesland;2018;-0,7391905706142184
Nordfriesland;2019;-0,7315646439878304
Nordfriesland;2020;-0,5933161829147066
Nordfriesland;2021;-0,7147295099331523
Nordfriesland;2022;-0,9601253182372018
Nordfriesland;2023;-0,9951475157565353
Nordfriesland;2024;-0,988999365480816
Nordfriesland;2025;-0,9829759679141931
Ostholstein;2004;-0,23061376639401238
Ostholstein;2005;-0,04670820228786294
Ostholstein;2006;-0,06248700088365833
Ostholstein;2007;-0,377124350039687
Ostholstein;2008;-0,21825048422226506
Ostholstein;2009;0,4800430808254638
Ostholstein;2010;0,48723792724936893
Ostholstein;2011;-0,10927601668263741
Ostholstein;2012;0,31646238519818026
Ostholstein;2013;0,06542133621532586
Ostholstein;2014;0,23886089101045466
Ostholstein;2015;0,4231159055819698
Ostholstein;2016;0,44903847520480467
Ostholstein;2017;0,4576845067876832
Ostholstein;2018;0,3164380776905483
Ostholstein;2019;0,4642506737769455
Ostholstein;2020;0,44105900851224755
Ostholstein;2021;0,20547025536366584
Ostholstein;2022;-0,7289735473574143
Ostholstein;2023;-0,9382357115889659
Ostholstein;2024;-0,9010520629063034
Ostholstein;2025;-0,8578331946013646
Pinneberg;2004;0,7818269225090723
Pinneberg;2005;0,8794171172945354
Pinneberg;2006;0,8150119961255565
Pinneberg;2007;0,7095676657994755
Pinneberg;2008;0,7302365524678567
Pinneberg;2009;0,9220374770207707
Pinneberg;2010;0,9605534685438455
Pinneberg;2011;0,940282611852809
Pinneberg;2012;0,9681336593717329
Pinneberg;2013;0,9605119994437616
Pinneberg;2014;0,9476203911264582
Pinneberg;2015;0,9677097779262356
Pinneberg;2016;0,9605645689522319
Pinneberg;2017;0,948167720852212
Pinneberg;2018;0,9257103074448925
Pinneberg;2019;0,9141451106388238
Pinneberg;2020;0,8767918855669937
Pinneberg;2021;0,844494880378386
Pinneberg;2022;0,19282502476403005
Pinneberg;2023;-0,33276703310857475
Pinneberg;2024;0,01447625983619334
Pinneberg;2025;0,1727992889003025
Plön;2004;-0,8347907458022061
Plön;2005;-0,7569129991313905
Plön;2006;-0,78653776046621
Plön;2007;-0,8505582881784349
Plön;2008;-0,8283905570117981
Plön;2009;-0,36582775930939054
Plön;2010;0,41590115187258164
Plön;2011;0,33666620962557525
Plön;2012;0,7419565112824655
Plön;2013;0,7578917195381913
Plön;2014;0,8016693876933009
Plön;2015;0,7357887991797384
Plön;2016;0,7039155302956421
Plön;2017;0,8979366700476342
Plön;2018;0,847614563948064
Plön;2019;0,7825012913521577
Plön;2020;0,8251657179282246
Plön;2021;0,6412675881744575
Plön;2022;-0,4512658083224582
Plön;2023;-0,8299574062279254
Plön;2024;-0,7565701956485643
Plön;2025;-0,6776952490443904
Rendsburg-Eckernförde;2004;0,4562226157916392
Rendsburg-Eckernförde;2005;0,6714120504041429
Rendsburg-Eckernförde;2006;0,6063104553954548
Rendsburg-Eckernförde;2007;0,375688268726538
Rendsburg-Eckernförde;2008;0,17430693225322255
Rendsburg-Eckernförde;2009;0,8397541722531375
Rendsburg-Eckernförde;2010;0,8398502057685105
Rendsburg-Eckernförde;2011;0,7174547536881031
Rendsburg-Eckernförde;2012;0,86622155780232
Rendsburg-Eckernförde;2013;0,8689124499351697
Rendsburg-Eckernförde;2014;0,9265750720040297
Rendsburg-Eckernförde;2015;0,9391023043556276
Rendsburg-Eckernförde;2016;0,9138483082164918
Rendsburg-Eckernförde;2017;0,8936544086294039
Rendsburg-Eckernförde;2018;0,8664377878570874
Rendsburg-Eckernförde;2019;0,8977402157426606
Rendsburg-Eckernförde;2020;0,7300298348462592
Rendsburg-Eckernförde;2021;0,7940921461941878
Rendsburg-Eckernförde;2022;0,1708052988853888
Rendsburg-Eckernförde;2023;-0,6837639462706899
Rendsburg-Eckernförde;2024;-0,25895256338312017
Rendsburg-Eckernförde;2025;0,06664666430062073
Schleswig-Flensburg;2004;-0,6927897727830543
Schleswig-Flensburg;2005;-0,4008132494978788
Schleswig-Flensburg;2006;-0,4995891134349019
Schleswig-Flensburg;2007;-0,7398703113743873
Schleswig-Flensburg;2008;-0,797951304215814
Schleswig-Flensburg;2009;-0,3031832885635977
Schleswig-Flensburg;2010;0,24536621449165666
Schleswig-Flensburg;2011;0,47967844845223934
Schleswig-Flensburg;2012;0,9006539363159166
Schleswig-Flensburg;2013;0,8323311329473159
Schleswig-Flensburg;2014;0,9345703323052386
Schleswig-Flensburg;2015;0,9552338673455456
Schleswig-Flensburg;2016;0,8981467946945374
Schleswig-Flensburg;2017;0,8511277885954314
Schleswig-Flensburg;2018;0,8002410698157862
Schleswig-Flensburg;2019;0,6031703987338981
Schleswig-Flensburg;2020;0,7118791839830769
Schleswig-Flensburg;2021;0,6266689948685341
Schleswig-Flensburg;2022;-0,5069952738905764
Schleswig-Flensburg;2023;-0,8804923438067612
Schleswig-Flensburg;2024;-0,8302522269297675
Schleswig-Flensburg;2025;-0,5908979967999503
Segeberg;2004;0,7477853666540383
Segeberg;2005;0,8586134347247987
Segeberg;2006;0,7807145506546777
Segeberg;2007;0,6943001569661407
Segeberg;2008;0,6197147358660828
Segeberg;2009;0,9133924400082394
Segeberg;2010;0,9445504184751288
Segeberg;2011;0,8960912918383971
Segeberg;2012;0,955803417048987
Segeberg;2013;0,9649176780429957
Segeberg;2014;0,929189126431168
Segeberg;2015;0,97350148317041
Segeberg;2016;0,9512220836355703
Segeberg;2017;0,9179338278785959
Segeberg;2018;0,889183751046884
Segeberg;2019;0,9064686826101402
Segeberg;2020;0,9049458019102449
Segeberg;2021;0,7806810555814174
Segeberg;2022;0,2008814686896894
Segeberg;2023;-0,5823987861939892
Segeberg;2024;-0,13034728463612338
Segeberg;2025;0,06261474410476182
Steinburg;2004;0,6848350394292202
Steinburg;2005;0,870269321023534
Steinburg;2006;0,7731103121637675
Steinburg;2007;0,794117926772456
Steinburg;2008;0,810694884497327
Steinburg;2009;0,959641469850471
Steinburg;2010;0,9717308434706382
Steinburg;2011;0,951436352278867
Steinburg;2012;0,979725622123918
Steinburg;2013;0,9845085188706737
Steinburg;2014;0,9967292830292409
Steinburg;2015;0,9991713082838682
Steinburg;2016;0,9992187969797224
Steinburg;2017;0,9949397593973061
Steinburg;2018;0,9958696308510101
Steinburg;2019;0,9935756829045708
Steinburg;2020;0,9471540168109435
Steinburg;2021;0,9100299759445042
Steinburg;2022;0,6906708308704812
Steinburg;2023;0,5409923744889803
