Datum,Jahr,Monat,Effektiver Jahreszins,S&P500 Return,10YGerman Bond Return,Inflation,Einlagefazilität,Hauptrefinanzierungsgeschäft,ifo Geschäftserwartung (Deutschland),ifo Geschäftsklima (Deutschland) ,ifo Geschäftsklima (Vearbeitendes Gewerbe),ifo Geschäftsklima (Bauhauptgewerbe),CCI,10 Jahre Sollzinsbindung,15 Jahre Sollzinsbindung
2003-01-01,2003,1,5.39,-2.74,4.058,1.0,1.75,2.75,,,-11.0,-48.1,-23.2,,
2003-02-01,2003,2,5.18,-1.71,3.896,1.3,1.75,2.75,,,-9.2,-47.6,-24.5,,
2003-03-01,2003,3,5.07,0.84,4.033,1.0,1.75,2.75,,,-11.1,-45.7,-23.4,,
2003-04-01,2003,4,5.04,8.1,4.065,0.9,1.5,2.5,,,-10.7,-44.9,-21.7,,
2003-05-01,2003,5,4.97,5.09,3.675,0.5,1.5,2.5,,,-11.2,-45.1,-20.9,,
2003-06-01,2003,6,4.82,1.13,3.801,0.9,1.5,2.5,,,-10.0,-42.0,-18.8,,
2003-07-01,2003,7,4.69,1.62,4.196,0.9,1.0,2.0,,,-6.5,-43.7,-15.7,,
2003-08-01,2003,8,4.79,1.79,4.188,1.0,1.0,2.0,,,-1.4,-40.9,-18.0,,
2003-09-01,2003,9,4.9,-1.19,4.004,1.0,1.0,2.0,,,0.7,-41.2,-18.3,,
2003-10-01,2003,10,4.9,5.49,4.325,1.2,1.0,2.0,,,4.4,-42.0,-18.0,,
2003-11-01,2003,11,5.0,0.71,4.452,1.3,1.0,2.0,,,8.0,-39.8,-16.0,,
2003-12-01,2003,12,5.06,5.07,4.292,1.1,1.0,2.0,,,10.0,-37.9,-17.7,,
2004-01-01,2004,1,5.02,1.73,4.243,1.1,1.0,2.0,,,11.3,-39.3,-19.6,,
2004-02-01,2004,2,4.95,1.22,4.084,0.8,1.0,2.0,,,7.4,-37.1,-16.2,,
2004-03-01,2004,3,4.85,-1.63,3.938,1.1,1.0,2.0,,,5.2,-40.1,-17.3,,
2004-04-01,2004,4,4.76,-1.68,4.212,1.6,1.0,2.0,,,6.5,-42.2,-17.8,,
2004-05-01,2004,5,4.8,1.21,4.32,2.2,1.0,2.0,,,7.6,-42.2,-18.3,,
2004-06-01,2004,6,4.83,1.79,4.358,1.8,1.0,2.0,,,7.4,-42.4,-17.1,,
2004-07-01,2004,7,4.84,-3.43,4.27,1.8,1.0,2.0,,,8.3,-44.7,-18.1,,
2004-08-01,2004,8,4.88,0.23,4.07,1.9,1.0,2.0,,,8.4,-44.4,-17.7,,
2004-09-01,2004,9,4.87,0.94,3.965,1.6,1.0,2.0,,,9.2,-42.3,-15.8,,
2004-10-01,2004,10,4.78,1.4,3.86,1.8,1.0,2.0,,,8.1,-42.1,-17.4,,
2004-11-01,2004,11,4.72,3.86,3.818,1.9,1.0,2.0,,,7.1,-41.5,-17.7,,
2004-12-01,2004,12,4.61,3.25,3.68,2.3,1.0,2.0,,,7.1,-41.9,-16.7,,
2005-01-01,2005,1,4.55,-2.52,3.54,1.5,1.0,2.0,3.8,1.5,6.8,-42.3,-13.7,,
2005-02-01,2005,2,4.49,1.89,3.711,1.6,1.0,2.0,1.6,1.0,6.0,-43.3,-14.5,,
2005-03-01,2005,3,4.49,-1.91,3.668,1.8,1.0,2.0,-1.8,-3.1,0.3,-42.9,-15.2,,
2005-04-01,2005,4,4.5,-2.02,3.389,1.1,1.0,2.0,-3.5,-3.5,-1.7,-40.4,-15.4,,
2005-05-01,2005,5,4.4,0.03,3.333,1.1,1.0,2.0,-5.6,-4.7,-2.5,-39.9,-14.7,,
2005-06-01,2005,6,4.27,-0.02,3.194,1.2,1.0,2.0,-4.5,-4.7,-2.2,-42.7,-15.2,,
2005-07-01,2005,7,4.22,3.6,3.218,1.6,1.0,2.0,3.0,-0.8,3.0,-40.7,-16.0,,
2005-08-01,2005,8,4.19,-1.13,3.153,1.6,1.0,2.0,4.8,1.2,4.0,-37.1,-14.3,,
2005-09-01,2005,9,4.18,0.7,3.154,2.0,1.0,2.0,4.9,3.1,6.4,-33.0,-13.9,,
2005-10-01,2005,10,4.19,-1.77,3.411,1.9,1.0,2.0,10.5,6.5,11.3,-31.3,-12.7,,
2005-11-01,2005,11,4.25,3.52,3.451,1.7,1.0,2.0,8.2,7.5,9.8,-29.6,-13.1,,
